English	Japanese	Unit	Part of Speech	Text Book Page
sleigh		1-1-1		114
went		1-1-1		114
shop		1-1-1		114
go home		1-1-1		115
cold		1-1-1		115
sat		1-1-1		115
beside		1-1-1		115
stove		1-1-1		115
came		1-1-1		115
into		1-1-1		115
matter		1-1-1		115
young		1-1-1		115
outside		1-1-1		115
fox		1-1-1		115
What's the matter?		1-1-1		115
come in		1-1-1		115
bedroom		1-1-2		116
broke		1-1-2		116
break		1-1-2		116
loud		1-1-2		116
sound		1-1-2		116
idea		1-1-2		116
cut		1-1-2		116
leg(s)		1-1-2		116
off		1-1-2		116
Is it OK?		1-1-2		116
cut ～ off		1-1-2		116
got		1-1-3		117
down		1-1-3		117
start(ed)		1-1-3		117
slope		1-1-3		117
pick(ed)		1-1-3		117
speed		1-1-3		117
fly(ing)		1-1-3		117
get on		1-1-3		117
hold on to		1-1-3		117
whee(-ee)		1-1-3		117
end		1-1-4		118
pulled(ed)		1-1-4		118
hill		1-1-4		118
finally		1-1-4		118
reach(ed)		1-1-4		118
warm		1-1-4		118
yourselves		1-1-4		118
way		1-1-4		118
pull ～ back		1-1-4		118
this way		1-1-4		118
heave ho		1-1-4		118
gosh		1-1-4		118
left		1-1-5		120
leave		1-1-5		120
station		1-1-5		120
only		1-1-5		120
hour		1-1-5		120
minute(s)		1-1-5		120
fast		1-1-5		120
had		1-1-5		120
restaurant		1-1-5		120
arrive at ～		1-1-5		120
linear motor train		1-1-5		120
