English	Japanese	Unit	Part of Speech	Text Book Page
is	～です、である	1-5-1	動詞	50
that	１．あれ「は・が」（ものを説明するとき）２．あの、その	1-5-1	代名詞、形容詞	50
isn't	(is not)	1-5-1		50
ballpoint pen	ボールペン	1-5-1	名詞	51
mechanical pencil	シャープペン	1-5-1	名詞	51
marker	マーカー	1-5-1	名詞	51
eraser	消しゴム	1-5-1	名詞	51
dictionary	辞書	1-5-1	名詞	51
notebook	ノート	1-5-1	名詞	51
booth	模擬店	1-5-1	名詞	51
chicken	チキン	1-5-1	名詞	51
with	～と一緒に	1-5-1	前置詞	51
spice(s)	スパイス、香辛科	1-5-1	名詞	51
curry	カレー	1-5-1	名詞	51
home economics	家庭科	1-5-1	名詞	51
at home	家「で・に」	1-5-1		51
Indian	インド（人）の	1-5-1	名詞	51
biryani	ビリヤニ	1-5-1	名詞	51
nan	ナン	1-5-1	名詞	51
chapati	チャパティ	1-5-1	名詞	51
what's	(what is)	1-5-1		51
it's	(it is)	1-5-1		51
that's	(that is)	1-5-1		51
where	どこ「へ・に」	1-5-2	副詞	52
table	テーブル	1-5-2	名詞	52
TV	テレビ	1-5-2	名詞	52
computer	パソコン	1-5-2	名詞	52
phone	電話	1-5-2	名詞	52
desk	机	1-5-2	名詞	52
they	それら「は・が」、彼ら「は・が」、彼女らは「は・が」	1-5-2	代名詞	52
on the bed	(の上に）ベッドの上に	1-5-2	前置詞フレーズ	52
on the wall	(の上に）かべに	1-5-2	前置詞フレーズ	52
under the desk	(の下に)　机の下に	1-5-2	前置詞フレーズ	52
under the bed	(の下に）ベッドの下に	1-5-2	前置詞フレーズ	52
by the desk	(～のそばに)　机のそばに	1-5-2	前置詞フレーズ	52
by the bed	(～のそばに)　ベッドのそばに	1-5-2	前置詞フレーズ	52
just	ちょうど、まさに	1-5-2	副詞	53
behind	（場所に表す）～の後ろに	1-5-2	前置詞	53
us	私たち「を・に」	1-5-2	代名詞	53
well	ええと、そうですね	1-5-2	間役詞	53
style	やり方、～流	1-5-2	名詞	53
Here it is.	ここですね。	1-5-2		53
Korean	韓国・朝鮮　(語、人)の	1-5-2	名詞、形容詞	53
kimbap	キンパ	1-5-2	名詞	53
brother		1-5-3	名詞	54
he		1-5-3	名詞	54
teacher		1-5-3	名詞	54
sister		1-5-3	名詞	54
she		1-5-3	名詞	54
boy		1-5-3	名詞	54
friend		1-5-3	名詞	54
cousin		1-5-3	名詞	54
classmate		1-5-3	名詞	54
player		1-5-3	名詞	54
～player	～選手	1-5-3	名詞	54
musician	音楽家	1-5-3	名詞	54
newscaster	ニュースキャスター	1-5-3	名詞	54
comedian	コメディアン	1-5-3	名詞	54
writer	作家	1-5-3	名詞	54
bath	ふろ	1-5-4	名詞	57
bed	ベッド	1-5-4	名詞	57
cool	かっこいい	1-5-3	形容詞	55
eat dinner	夕食を食べる	1-5-4	動詞フレイズ	57
family	家族	1-5-3	名詞	55
father	お父さん、父	1-5-3	名詞	55
get	（状態）なる	1-5-4	動詞フレイズ	57
get home	帰宅する	1-5-4	動詞フレイズ	57
get up	起きる	1-5-4	動詞フレイズ	57
go to bed	寝る	1-5-4	動詞フレイズ	57
go to school	学校に行く	1-5-4	動詞フレイズ	57
he's	(=he is)	1-5-3	代名詞	55
India	インド	1-5-3	名詞	55
lunch	昼食	1-5-4	名詞	56
Me too.	私もです。	1-5-4		57
mother	お母さん、母	1-5-3	名詞	55
movie	映画	1-5-3	名詞	55
now	今（は）、現在（では）	1-5-3	副詞	55
o'clock	～時	1-5-4	副詞	56
picture	写真	1-5-3	名詞	55
play games	ゲイムをする	1-5-4	動詞フレーズ	57
programmer	プログラマー	1-5-3	名詞	55
she's	(=she is)	1-5-3	代名詞	55
star	スター、人気者	1-5-3	名詞	55
study English	英語を勉強する	1-5-4	動詞フレーズ	57
sure	はい	1-5-4	副詞	56
take a bath	風呂に入る	1-5-4	動詞フレーズ	57
time	時間、時刻	1-5-4	名詞	56
up	上に	1-5-4	上「へ・に」	57
watch TV	テレビを見る	1-5-4	動詞フレーズ	57
What time is it?	何時ですか。	1-5-4		56
You're welcome	どういたしまして	1-5-4		57
