English	Japanese	Unit	Part of Speech	Text Book Page
apple	リンゴ	1-1-1	名詞	16
city	市、都市	1-1-1	名詞	16
dog	犬	1-1-1	名詞	16
egg	卵	1-1-1	名詞	17
evening	夕方	1-1-1	名詞	17
fish	魚	1-1-1	名詞	17
food	食べ物	1-1-1	名詞	17
giant	巨人	1-1-1	名詞	17
girl	少女	1-1-1	名詞	17
house	家	1-1-1	名詞	17
ice cream	アイスクリーム	1-1-1	名詞	16
Internet	インターネット	1-1-1	名詞	16
juice	ジュース	1-1-1	名詞	16
key	鍵	1-1-1	名詞	16
lion	ライオン	1-1-1	名詞	16
milk	牛乳	1-1-1	名詞	16
name	名前	1-1-1	名詞	17
nose	鼻	1-1-1	名詞	17
orange	１．オレンジ（色）２．オレンジ（フルーツ）	1-1-1	名詞	17
pen	ペン	1-1-1	名詞	17
quiz	クイズ,　小テスト	1-1-1	名詞	17
ribbon	リボン	1-1-1	名詞	16
room	部屋	1-1-1	名詞	17
sun	太陽	1-1-1	名詞	16
tennis	テニス	1-1-1	名詞	16
umbrella	傘	1-1-1	名詞	16
uncle	おじさん	1-1-1	名詞	16
uniform	制服	1-1-1	名詞	16
volleyball	バレーボール	1-1-1	名詞	16
watch	腕時計	1-1-1	名詞	17
yellow	黄色	1-1-1	名詞	17
zoo	動物園	1-1-1	名詞	17
