English	Japanese	Unit	Part of Speech	Text Book Page
friendship		1-8-1		76
across		1-8-1		76
border(s)		1-8-1		76
airport		1-8-1		76
as		1-8-1		76
begin		1-8-1		76
began		1-8-1		76
panic		1-8-1		76
suddenly		1-8-1		76
plane(s)		1-8-1		76
appear(ed)		1-8-1		76
board		1-8-1		76
quickly		1-8-1		76
deadline		1-8-1		76
right away		1-8-1		76
ship(s)		1-8-2		77
strong		1-8-2		77
typhoon		1-8-2		77
coast		1-8-2		77
crash(ed)		1-8-2		77
died		1-8-2		77
rescu(ed)		1-8-2		77
villager(s)		1-8-2		77
however		1-8-2		77
bury, buried		1-8-2		77
deadline		1-8-2		77
on the way home		1-8-2		77
because of ～		1-8-2		77
earthquake		1-8-3		78
hit		1-8-3		78
sent		1-8-3		78
necessary		1-8-3		78
keep		1-8-3		78
effort(s)		1-8-3		78
keep up ～		1-8-3		78
a better place		1-8-3		78
