English	Japanese	Unit	Part of Speech	Text Book Page
Fine, thank you	元気です。ありがとうございます。	1-0-1	フレーズ	6
Good afternoon	こんにちは	1-0-1	フレーズ	6
Good evening	こんばんは	1-0-1	フレーズ	6
Good morning	おはようございます。	1-0-1	フレーズ	6
Goodbye	さようなら ・じゃあまた	1-0-1	フレーズ	7
Hello, everyone.	皆さんおはようございます。	1-0-1	フレーズ	6
Here you are.	どうぞ　「何かあげる場合」	1-0-1	フレーズ	6
How are you?	元気ですか？、最近どうですか？	1-0-1	フレーズ	6
How's the weather today?	天気はどうですか？	1-0-1	フレーズ	6
It's (sunny) [cloudy / rainy]	（晴れ）です　「曇り・雨降っている」	1-0-1	フレーズ	6
Thank you (very much).	ありがとうございます。	1-0-1	フレーズ	6
(train) station	電車の駅	1-0-2	名詞	8
bookstore	本屋	1-0-2	名詞	8
convenience store	コンビニ	1-0-2	名詞	8
elephant	象	1-0-2	名詞	8
fire station	消防署	1-0-2	名詞	8
flower shop	花屋	1-0-2	名詞	8
hospital	病院	1-0-2	名詞	8
penguin	ペンギン	1-0-2	名詞	8
police station	警察署	1-0-2	名詞	8
post office	郵便局	1-0-2	名詞	8
restaurant	レストラン	1-0-2	名詞	8
school	学校	1-0-2	名詞	8
supermarket	スーパー	1-0-2	名詞	8
zoo	動物園	1-0-2	名詞	8
bag	バッグ、袋	1-0-3	名詞	16
ball	ボール	1-0-3	名詞	42
bike	自転車	1-0-3	名詞	82
black	１．黒　２．黒い	1-0-3	名詞、形容詞	107
blue	青、青い	1-0-3	名詞、形容詞	(60),(106)
book	本	1-0-3	名詞	(23),(34),(40)
box	箱	1-0-3	名詞	37
cap	１．(ふちのない）帽子；２.　びんなどのキャップ	1-0-3	名詞	37
cat	ネコ	1-0-3	名詞	16
cup	カップ、コップ	1-0-3	名詞	10
dog	犬	1-0-3	名詞	10
door	扉、ドア	1-0-3	名詞	10
eight	8	1-0-3	名詞	10
eleven	11	1-0-3	名詞	10
five	5	1-0-3	名詞	10
four	4	1-0-3	名詞	10
green	みどり	1-0-3	名詞	10
hat	帽子	1-0-3	名詞	10
jacket	上着	1-0-3	名詞	10
key	鍵	1-0-3	名詞	10
magazine	雑誌	1-0-3	名詞	10
nine	9	1-0-3	名詞	10
notebook	ノート	1-0-3	名詞	10
one	1	1-0-3	名詞	10
orange	オレンジ	1-0-3	名詞	10
pen	ぺん	1-0-3	名詞	10
pencil	えんぴつ	1-0-3	名詞	10
picture	写真	1-0-3	名詞	10
pink	ピンク	1-0-3	名詞	10
red	赤	1-0-3	名詞	10
seven	7	1-0-3	名詞	10
six	6	1-0-3	名詞	10
T-shirt	Tシャツ	1-0-3	名詞	10
ten	10	1-0-3	名詞	10
three	3	1-0-3	名詞	10
twelve	12	1-0-3	名詞	10
two	2	1-0-3	名詞	10
watch	腕時計	1-0-3	名詞	10
white	白	1-0-3	名詞	10
yellow	黄色	1-0-3	名詞	10
basketball	バスケットボール	1-0-4	名詞	26
bed	ベッド	1-0-4	名詞	57
cake	ケーキ	1-0-4	名詞	16
cheese	チーズ	1-0-4	名詞	12
chicken	チキン	1-0-4	名詞	12
cook curry	カレーを料理する	1-0-4	動詞フレーズ	13
eat natto	納豆を食べる	1-0-4	動詞フレーズ	13
ice cream	アイスクリーム	1-0-4	名詞	12
love	1. 愛  2. 愛する、大好き 	1-0-4	名詞、動詞	12
music	音楽	1-0-4	名詞	12
orange juice	オレンジジュース	1-0-4	オレンジジュース	12
play badminton	バドミントンをする	1-0-4	動詞フレーズ	13
play baseball	野球する	1-0-4	動詞フレーズ	13
play basketball	バスケットボールをする	1-0-4	動詞フレーズ	13
play shogi	将棋を囲む	1-0-4	動詞フレーズ	13
ride a unicycle	一輪車に乗る	1-0-4	動詞フレーズ	13
run	走る	1-0-4	動詞	13
sing karaoke	カラオケを歌う	1-0-4	動詞フレーズ	13
stand	立つ	1-0-4	動詞	13
swim	泳ぐ	1-0-4	動詞	13
swimming	泳ぎ	1-0-4	名詞	12
tomato juice	トマトジュース	1-0-4	名詞	12
walk	１．散歩　２．歩く、散歩する	1-0-4	名詞、動詞	13
