English	Japanese	Unit	Part of Speech	Text Book Page
answer	（電話に）出る	1-9-1	動詞	91
anyone	（疑問文で）だれか	1-9-1	代名詞	91
brush	磨く、ブラシをかける	1-9-1	動詞	91
brushing	磨いている、ブラシをしている　（brushの-ing形）	1-9-1	動詞	91
busy	忙しい	1-9-1	形容詞	91
change	（服を）着がえる	1-9-1	動詞	91
changing	（服を）着がえている　（changeの-ing形）	1-9-1	動詞	91
clothes	衣服、着物	1-9-1	名詞	91
daughter	娘	1-9-1	名詞	91
dry	乾かす	1-9-1	名詞	91
drying	乾かしている　（dryの-ing形）	1-9-1	動詞	91
I'm sorry, ～.	すみません、～です。	1-9-1		91
New Year	元日	1-9-1	名詞	90
Oh, no!	なんてことでしょう。	1-9-1		91
ring	鳴る	1-9-1	動詞	91
so	それで	1-9-1	接続詞	90
son	息子	1-9-1	名詞	91
teeth	歯　（toothの複数形)	1-9-1	名詞	91
tooth	歯　（一つの）	1-9-1	名詞	91
visit	訪問、訪れ	1-9-1	動詞	90
again	ふたたび、もう一度	1-9-2	副詞	93
dad	お父さん、パパ	1-9-2	名詞	93
fine	元気な	1-9-2	形容詞	93
grandma	おばあさん、祖母	1-9-2	名詞	93
grandpa	おじいさん、祖父	1-9-2	名詞	93
hold	持つ	1-9-2	動詞	93
hold on	（電話を切らないで）持つ、そのままにしている	1-9-2		93
How are you?	お元気ですか？	1-9-2		93
Is ～ in?	（電話で）～はいますか？	1-9-2		93
mom	お母さん、母	1-9-2	名詞	93
ringing	鳴っている　(ring の -ing形）	1-9-2	動詞	93
almost	ほとんど	1-9-3	副詞	95
hurry	急ぐ	1-9-3	動詞	95
late	遅れた、遅い	1-9-3	形容詞	95
message	伝言、メッセージ	1-9-3	名詞	95
put	置く	1-9-3	動詞	95
put on ～	～を着る、～を身につける	1-9-3	動詞フレーズ	95
putting	置いている　（put の -ing 形）	1-9-3	動詞	95
ready	準備ができて	1-9-3	形容詞	95
take a message	伝言を聞く	1-9-3	動詞フレーズ	95
then	それでは、それなら	1-9-3	副詞	95
anything	（肯定文で）何でも	1-9-4	代名詞	97
arrive(s)	到着する	1-9-4	動詞	96
be ready for ～	～の準備ができて	1-9-4		97
bear	くま	1-9-4	名詞	96
catch(es)	つかまえる	1-9-4	動詞	96
come out	現れる	1-9-4	動詞	96
floor	ゆか	1-9-4	名詞	97
mouth	口	1-9-4	名詞	96
out	外へ「に」	1-9-4	副詞	96
page	（新聞、本などの）面、欄、ページ	1-9-4	名詞	97
saying	話している　(say の -ing の形）	1-9-4	動詞	97
sitting	座っている (sit の -ing 形)	1-9-4	動詞	97
something	何か	1-9-4	代名詞	97
understand	分かる、理解する	1-9-4	名詞	97
walk home	歩いて帰る	1-9-4	動詞	96
with ～ in her mouth	～を口にくわえて	1-9-4	動詞フレーズ	96
