English	Japanese	Unit	Part of Speech	Text Book Page
black	黒	1-6-1	名詞	60
blue	青	1-6-1	名詞	60
color	色	1-6-1	名詞	60
white	白（イ）	1-6-1	名詞、形容詞	(60),(64)
cooking	料理	1-6-1	名詞	60
dark brown	こげ茶色	1-6-1	名詞	60
light	明るい	1-6-1	形容詞	60
pink	ピンク	1-6-1	名詞	60
song(s)	歌	1-6-1	名詞	60
yellow	黄色（の）	1-6-1	名詞、形容詞	60
a lot	たくさん	1-6-1		61
always	いつも	1-6-1	副詞	61
by	（交通手段を表して）～で、～によって	1-6-1	前置詞	61
by tube	地下鉄で	1-6-1		61
interesting	おもしろい	1-6-1	形容詞	61
London	ロンドン	1-6-1	名詞	61
place(s)	場所	1-6-1	名詞	61
talk(s)	話す	1-6-1	動詞	61
tube	ロンドンの地下鉄、「米」= subway；通例 the をつけて	1-6-1	名詞	61
wonderful	すばらしい	1-6-1	形容詞	61
Chinese	中国「語・人」	1-6-2	名詞	62
does	do の変化形　(he,she,it)	1-6-2	動詞、助動詞	62
doesn't	（=does not)	1-6-2	動詞、助動詞	62
P.E.	体育	1-6-2	名詞	62
Just Kidding.	ほんの冗談です。	1-6-2		63
museum	博物館	1-6-2	名詞	63
sorry	申し訳ない	1-6-2	形容詞	63
table tennis	卓球	1-6-2	名詞	63
there	そこに「へ、で」	1-6-2	副詞	63
these	こちらは「が」	1-6-2	代名詞	63
those	１．あれら「それら」は「が」２．あれら「それら」を「に」	1-6-2	代名詞	63
any	（疑問文）何か、いくつか	1-6-3	形容詞	64
coffee	コヒー	1-6-3	名詞	64
enjoy	楽しむ	1-6-3	動詞	64
has	have の変化形 (he, she, it)	1-6-3	動詞	64
her	彼女の	1-6-3	代名詞	64
～, right?	～でよろしいですね。	1-6-3		65
alone	一人で	1-6-3	副詞	65
comic(s)	（comicsで）（4コマ以上の）マンガ	1-6-3	名詞	65
detective	たんてい	1-6-3	名詞	65
help(s)	助ける、手伝う	1-6-3	動詞	65
I see.	なるほど「そうですか」	1-6-3		65
maybe	多分、おそらく	1-6-3	副詞	65
right	正しい	1-6-3	形容詞	65
smart	かしこい、頭が切れる	1-6-3	形容詞	65
work	働く	1-6-3	動詞	65
April	4月	1-6-4	名詞	66
August	8月	1-6-4	名詞	66
December	12月	1-6-4	名詞	66
fall	秋	1-6-4	名詞	66
February	2月	1-6-4	名詞	66
January	1月	1-6-4	名詞	66
July	7月	1-6-4	名詞	66
June	6月	1-6-4	名詞	66
March	3月	1-6-4	名詞	66
May	5月	1-6-4	名詞	66
November	11月	1-6-4	名詞	66
October	10月	1-6-4	名詞	66
September	9月	1-6-4	名詞	66
spring	春	1-6-4	名詞	66
summer	夏	1-6-4	名詞	66
winter	冬	1-6-4	名詞	66
eighteenth	18番目（の）	1-6-4	名詞、形容詞	67
eigth	8番目（の）	1-6-4	名詞、形容詞	67
eleventh	11番目（の）	1-6-4	名詞、形容詞	67
fifteenth	15番目（の）	1-6-4	名詞、形容詞	67
fifth	5番目（の）	1-6-4	名詞、形容詞	67
first	1番目（の）	1-6-4	名詞、形容詞	67
fourteenth	14番目（の）	1-6-4	名詞、形容詞	67
fourth	4番目（の）	1-6-4	名詞、形容詞	67
nineteenth	19番目（の）	1-6-4	名詞、形容詞	67
ninth	9番目（の）	1-6-4	名詞、形容詞	67
second	2番目（の）	1-6-4	名詞、形容詞	67
seventeenth	17番目（の）	1-6-4	名詞、形容詞	67
seventh	7番目（の）	1-6-4	名詞、形容詞	67
sixteenth	16番目（の）	1-6-4	名詞、形容詞	67
sixth	6番目（の）	1-6-4	名詞、形容詞	67
tenth	10番目（の）	1-6-4	名詞、形容詞	67
third	3番目（の）	1-6-4	名詞、形容詞	67
thirteenth	13番目（の）	1-6-4	名詞、形容詞	67
thirtieth	30番目（の）	1-6-4	名詞、形容詞	67
thirty-first	31番目（の）	1-6-4	名詞、形容詞	67
twelfth	12番目（の）	1-6-4	名詞、形容詞	67
twentieth	20番目（の）	1-6-4	名詞、形容詞	67
twenty-eighth	28番目（の）	1-6-4	名詞、形容詞	67
twenty-fifth	25番目（の）	1-6-4	名詞、形容詞	67
twenty-first	21番目（の）	1-6-4	名詞、形容詞	67
twenty-fourth	24番目（の）	1-6-4	名詞、形容詞	67
twenty-ninth	29番目（の）	1-6-4	名詞、形容詞	67
twenty-second	22番目（の）	1-6-4	名詞、形容詞	67
twenty-seventh	27番目（の）	1-6-4	名詞、形容詞	67
twenty-sixth	26番目（の）	1-6-4	名詞、形容詞	67
twenty-third	23番目（の）	1-6-4	名詞、形容詞	67
