English	Japanese	Unit	Part of Speech	Text Book Page
it	１．（前に出てきたものを指して）それを　２．それ「は・が」３．（時間、曜日、天気などを表す）	1-4-3	代名詞	(35),(49),(50),(56)
~ year(s) old	～歳	1-4-3		44
afternoon	午後	1-4-1	名詞	38
also	～もまた、さらに	1-4-2	副詞	41
an	一つの、一人の (a,e,i,o,uの始まる言葉）	1-4-2	冠詞	40
at	(場所を表して)　～の	1-4-3		44
banana	バナナ	1-4-3	名詞	42
be	～になる、～である	1-4-3	動詞	49
Be quiet.	静かにしなさい	1-4-3		49
bottle	ボトル、ビン	1-4-2	名詞	41
breakfast	朝食	1-4-1	名詞	(34), 38
camera	カメラ	1-4-3	名詞	42
carrot	にんじん	1-4-3	名詞	42
CD(s)	コンパクトディスク、シーディー	1-4-2	名詞	40
class	１．授業　２．（クラスの）皆さん	1-4-2	名詞	(44),(41)
club	部、クラブ	1-4-3	名詞	44
collect	集める	1-4-2	動詞	41
day	日	1-4-1	名詞	(35),(39)
for	～に「にとして」	1-4-1	前置詞	38
gesture	ジェスチャー	1-4-3	名詞	49
goodbye	さようなら	1-4-1	間役詞	24
great	すごい	1-4-2	形容詞	41
hand(s)	手	1-4-3	名詞	49
head	頭	1-4-3	名詞	49
How many ~?	～いくつの「だれだけ（多くの）」～ですか？	1-4-3		42
I'm in ～ club.	私は～部に所属しています。	1-4-3		44
I'm on ~ team.	私は～のチームのメンバーです。	1-4-3		44
in	(所属・活動を表して) ～に	1-4-3		44
Japan	日本	1-4-3	名詞	49
junior high school	中学校	1-4-3	名詞	44
kid	子供、若者	1-4-3	名詞	42
know	知る、知っている、分かる	1-4-3	動詞	49
let's	～しよう	1-4-2	名詞	(22),(41)
listen	聞く	1-4-1	動詞	(22),(39)
listen to	～を聞く、に耳を傾ける	1-4-1	動詞	(22),(39)
little	小さい	1-4-3	形容詞	44
live	住む、住んでいる	1-4-3	動詞	44
look	見る	1-4-3	動詞	49
look at ~	～（の方）を見る	1-4-3	～（の方）を見る	49
lot	たくさん	1-4-3	名詞	43
magazine	雑誌	1-4-2	名詞	41
many	たくさんの	1-4-3	形容詞	42
meaning	意味	1-4-3	名詞	49
music box	オルゴール	1-4-3	名詞	42
my	私の	1-4-1	代名詞	39
newspaper	新聞、新聞紙	1-4-2	名詞	41
next	次の	1-4-2	形容詞	41
NPO	非営利組織	1-4-3	名詞	43
of	～の	1-4-3	前置詞	43
OK	分かりました	1-4-2	副詞	41
old	～歳の、～年を取っている	1-4-3	形容詞	44
on	１．（火を表して）～に　２。（所属を表して）～の一員で　３．（場所を表して）～（の上）「で・に・の」	1-4-1	前置詞	(38),(44),(52)
onion	ネギ	1-4-3	名詞	42
park	公園	1-4-1	名詞	39
pencil(s)	えんぴつ	1-4-2	名詞	(22),40
please	どうそ、どうか	1-4-3	間投詞	42
potato	ポテト	1-4-3	名詞	42
quiet	静かな	1-4-3	形容詞	49
really	ほんとうに	1-4-1	副詞	39
recycling	リサイクル（をすること）	1-4-1	名詞	39
rice	ごはん、米	1-4-1	名詞	39
run	走る	1-4-3	動詞	49
save		1-4-3	動詞	43
see	見る、見える	1-4-3	動詞	49
send	送る	1-4-3	動詞	43
some	いくらかの、いくつかの	1-4-3	形容詞	43
sometimes	ときどき	1-4-3	副詞	49
sport	スポーツ	1-4-3	名詞	44
step	歩み、足元	1-4-3	名詞	49
stop	止まる	1-4-3	動詞	49
swim	泳ぐ	1-4-3	動詞	49
team	チーム	1-4-3	名詞	44
thank	感謝する	1-4-3	動詞	44
Thank you.	ありがとう。	1-4-3		44
the U.S.	アメリカ合衆国	1-4-3	名詞	49
this	これ(を)	1-4-3	代名詞	49
to	（対象を表して）～「を・に」	1-4-1	前置詞	(22),(39)
today	今日	1-4-3	名詞	43
together	一緒に	1-4-2	副詞	
tomato juice	トマトジュース	1-4-3	名詞	42
usually	ふつう、たいてい	1-4-1	副詞	39
walk	歩く、歩いていく	1-4-3	動詞	49
want	ほしい、望む	1-4-3	動詞	42
Watch your step.	（標職）足元注意	1-4-3		49
we	私たち「は・が」	1-4-1	代名詞	39
what	１．何「を・に」２．何の	1-4-1	代名詞、形容詞	(35),(38),(44)
wow	うわー	1-4-3		43
year(s)	年	1-4-3	名詞	44
your	あなたの	1-4-3	代名詞	49
