English	Japanese	Unit	Part of Speech	Text Book Page
over		1-11-1		96
mask(s)		1-11-1		96
knives		1-11-1		96
all over the world		1-11-1		96
roof		1-11-1		97
replace, replacing		1-11-1		97
amount		1-11-1		97
thatch		1-11-1		97
community		1-11-1		97
such		1-11-1		97
seen		1-11-1		97
teamwork		1-11-1		97
job		1-11-1		97
easy, easier		1-11-1		97
a large amount of ～		1-11-1		97
each other		1-11-1		97
thatched roof		1-11-1		97
written		1-11-2		98
writer		1-11-2		98
built		1-11-2		98
sung		1-11-2		98
fire		1-11-2		99
easily		1-11-2		99
shout		1-11-2		99
careful		1-11-2		99
drill		1-11-2		99
held		1-11-2		99
water		1-11-2		99
gun(s)		1-11-2		99
spread(ing)		1-11-2		99
favorite		1-11-2		99
catch fire		1-11-2		99
be careful of ～		1-11-2		99
stop ～ from		1-11-2		99
cover(ed)		1-11-3		100
meter(s)		1-11-3		100
deep		1-11-3		100
shine, shining		1-11-3		100
breathtaking		1-11-3		100
be covered with ～		1-11-3		100
spot		1-11-4		102
kilometer(s)		1-11-4		102
waterfall(s)		1-11-4		102
boat		1-11-4		102
lit		1-11-4		102
slowly		1-11-4		103
pole(s)		1-11-4		103
rope(s)		1-11-4		103
protect		1-11-4		103
heavy		1-11-4		103
strange		1-11-4		103
surprising		1-11-4		103
protect ～ from		1-11-4		103
look like		1-11-4		103
boot(s)		1-11-5		107
worry		1-11-5		107
pair		1-11-5		107
special		1-11-5		107
push		1-11-5		107
button		1-11-5		107
waterproof		1-11-5		107
fit		1-11-5		107
pocket		1-11-5		107
plastic		1-11-5		107
expensive		1-11-5		107
cheap(er)		1-11-5		107
percent		1-11-5		107
discount		1-11-5		107
a pair of ～		1-11-5		107
