English	Japanese	Unit	Part of Speech	Text Book Page
active	活動的	1-10-3	形容詞	104
ago	（今から）～前に	1-10-1	副詞	100
America	アメリカ	1-10-2	名詞	103
American	アメリカ（人）の	1-10-1	名詞	101
arrive in ～	～（広い地域）に到着する	1-10-1	動詞フレーズ	101
art	美術、芸術	1-10-2	名詞	103
aunt	おば	1-10-1	名詞	101
because	なぜなら～だから	1-10-3	接続詞	104
black	黒（い）	1-10-4	名詞、形容詞	107
brown	茶色（い）	1-10-4	名詞、形容詞	107
Can I help you?	何か手伝いましょうか？	1-10-4		106
chance	好機、チャンス	1-10-2	名詞	103
dear	親愛なる（Dear~で～さん）	1-10-1	形容詞	101
did	doの過去形	1-10-2	助動詞、動詞	102
dish(es)	皿	1-10-2	名詞	102
each	それぞれの	1-10-3	形容詞	104
early	（時間が）早く	1-10-3	副詞	104
every day	毎日	1-10-3		104
friendly	親しみにある	1-10-3	形容詞	104
funny	おもしろい	1-10-3	形容詞	104
gray	灰色（の）	1-10-4	名詞、形容詞	107
green	みどり（の）	1-10-4	名詞、形容詞	107
handsome	ハンサムな	1-10-3	形容詞	104
hard	いっしょうけんめいに	1-10-3	形容詞	104
hat	（ふちのある）帽子	1-10-4	名詞	107
history	歴史	1-10-1	名詞	101
How are you doing?	お元気ですか？	1-10-1		101
How much ～?	～はいくらですか？	1-10-4		106
How old ～?	～は何歳ですか？	1-10-4		107
in the afternoon	午後に	1-10-2		102
jacket	ジャケット、上着	1-10-4	名詞	107
kachina doll(s)	カチーナ人形	1-10-3	名詞	105
kind	やさしい	1-10-3	形容詞	104
last	（この）前の	1-10-1	形容詞	100
last month	先月	1-10-1		100
last night	昨夜	1-10-1		100
last week	先週	1-10-1		100
letter	手紙	1-10-2	名詞	103
look for ～	～を探す	1-10-4	動詞フレーズ	106
night	夜	1-10-1	名詞	100
or	または、それとも、～か	1-10-4	接続詞	106
other	他の	1-10-1	形容詞	101
pink	ピンク	1-10-4	名詞、形容詞	107
polite	礼儀正しい	1-10-3	形容詞	104
See you soon.	じゃあまた「さようなら」	1-10-1		101
shirt	シャツ	1-10-4	名詞	107
smart	賢い	1-10-3	賢い、頭の切れる	104
so much	それほど	1-10-3		104
soon	すぐに、まもなく	1-10-1	副詞	101
space	宇宙	1-10-2	名詞	103
stay with ～	～のところにたまる	1-10-1	動詞フレーズ	101
stay(ing)	滞在する、泊まる	1-10-1	動詞	101
sweater	セーター	1-10-4	名詞	107
T-shirt	Tシャツ	1-10-4	名詞	106
take a walk	散歩する	1-10-3	動詞フレーズ	104
Thank you for ～	～をありがとう	1-10-2		103
the White House	ホワイトハウス（米国の大統領の住む所）	1-10-2	名詞	103
toy(s)	おもちゃ	1-10-1	名詞	101
Washington D.C.	ワシントンD.C.（アメリカの首都）	1-10-1	名詞	100
why	なぜ	1-10-3	副詞	104
Yes, please.	はい、お願いします。	1-10-4		106
yesterday	昨日	1-10-1	名詞	100
