English	Japanese	Unit	Part of Speech	Text Book Page
animal(s)	動物	1-8-1	名詞	79
bowl	ボーリングをする	1-8-1	動詞	78
can	～できる	1-8-1	助動詞	78
dance	踊る	1-8-1	動詞	78
do a handstand	逆立ちをする	1-8-1	動詞	78
doll	人形	1-8-1	名詞	79
knit	編み物をする	1-8-1	動詞	78
learn	学ぶ、習う	1-8-1	動詞	79
member	一員、メンバー	1-8-1	名詞	79
skate	スケートをする	1-8-1	動詞	78
ski	スキーをする	1-8-1	動詞	78
be good at ～	～が得意である	1-8-2		81
can't	(=cannot)	1-8-2	動詞	80
crane	ツル	1-8-2	名詞	81
difficult	難しい	1-8-2	形容詞	81
What about ～?	～はどうですか？	1-8-2		81
a piece of ～	一枚「一つ」の～	1-8-3		83
bike	自転車	1-8-3	名詞	82
bird	鳥	1-8-3	名詞	83
bus	バス	1-8-3	名詞	82
car	自動車	1-8-3	名詞	82
fold	折る	1-8-3	動詞	83
many times	何回も	1-8-3		83
paper	紙	1-8-3	名詞	83
piece	1枚、1つ	1-8-3	名詞	83
school	学校	1-8-3	名詞	82
spell	つづる、書く	1-8-3	動詞	82
still	間だ、今でも	1-8-3	副詞	83
thing(s)	もの	1-8-3	名詞	83
train	電車	1-8-3	名詞	82
Can I ～？	～してもよいですか？	1-8-4		84
Can you ～?	何かお手伝いしましょうか。	1-8-4		84
door	とびら、どあ	1-8-4	名詞	84
dress	衣装、ドレス	1-8-4	名詞	85
of course	もちろん	1-8-4		84
present	贈り物、プレゼント	1-8-4	名詞	84
ride	乗る	1-8-4	動詞	84
Thanks.	ありがとう	1-8-4		84
wing(s)	つばさ、羽	1-8-4	名詞	85
Yes, let's.	そうしましょう。	1-8-4		85
around the world	世界中の「で」	1-8-5		86
cute	かわいい	1-8-5	形容詞	86
famous	有名	1-8-5	形容詞	86
Good afternoon.	こんにちは	1-8-5	あいさつ	86
often	しばしば	1-8-5	副詞	86
popular	人気のある	1-8-5	形容詞	86
singer	歌手	1-8-5	名詞	86
Thank you for listening.	（ご清聴）ありがとうございました。	1-8-5		86
virtual	仮想の、インターネットの上に	1-8-5	形容詞	86
voice	声	1-8-5	名詞	86
world	世界	1-8-5	名詞	86
