ride a unicycle,,1-0-4,,
room,,1-1-1,,
room,,1-1-1,,
run,,1-0-4,,
Saturday,,1-3-3,,
school,,1-0-2,,
science,,1-3-1,,
send,,1-4-3,,
seven,7,1-0-3,,
sing,,1-3-3,,
sing karaoke,,1-0-4,,
six,6,1-0-3,,
soccer,,1-2-1,,
social studies,,1-3-1,,
some,,1-4-3,,
speak,,1-3-1,,
stand,,1-0-4,,
student,,1-2-1,,
study,,1-3-3,,
sun,,1-1-1,,
Sunday,,1-3-3,,
sunny,,1-3-3,,
supermarket,,1-0-2,,
swim,,1-0-4,,
swimming,,1-0-4,,
T-shirt,,1-0-3,,
table tennis,,1-2-1,,
take,,1-3-3,,
tea,,1-3-2,,
ten,10,1-0-3,,
tennis,,1-1-1,,
Thank you (very much).,,1-0-1,,
the,,1-3-1,,
three,3,1-0-3,,
Thursday,,1-3-3,,
to,,1-4-1,,
today,,1-4-3,,
together,,1-4-2,,
tomato juice,,1-0-4,,
tomato juice,,1-3-2,,
too,,1-2-1,,
touch,,1-3-3,,
track and field,,1-2-1,,
Tuesday,,1-3-3,,
twelve,12,1-0-3,,
two,2,1-0-3,,
umbrella,,1-1-1,,
uncle,,1-1-1,,
uniform,,1-1-1,,
use,,1-3-3,,
usually,,1-4-1,,
vegetable juice,,1-3-2,,
very,,1-3-1,,
very much,,1-3-1,,
volleyball,,1-1-1,,
volleyball,,1-1-1,,
walk,,1-0-4,,
want,,1-4-3,,
wash,,1-3-3,,
watch,,1-0-3,,
watch,,1-1-1,,
we,,1-4-1,,
Wednesday,,1-3-3,,
week,,1-3-3,,
what,,1-4-1,,
white,,1-0-3,,
write,,1-3-3,,
yellow,,1-0-3,,
yellow,,1-1-1,,
yes,,1-2-1,,
you,,1-2-1,,
zoo,,1-0-2,,
zoo,,1-1-1,,
